timestamp,image_file,model_type,labels_detected,confidences,result_summary,required_class,required_cnt,result_status
2025-09-15 14:38:16,img.jpg,LCD,0,0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.84|0.84|0.84|0.84|0.84|0.84|0.84|0.84|0.84|0.84|0.84|0.84|0.84|0.83|0.83|0.83|0.83|0.83|0.83|0.82|0.82|0.82|0.82|0.82|0.82|0.81|0.81|0.81|0.80|0.80|0.80|0.79|0.78|0.78|0.74|0.62,No summary available,0,224,PASS
2025-09-15 14:38:17,img.jpg,LCD,0,0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.84|0.84|0.84|0.84|0.84|0.83|0.83|0.83|0.83|0.83|0.83|0.83|0.83|0.81|0.80|0.78|0.77|0.72|0.63|0.56,No summary available,0,224,PASS
2025-09-15 14:38:17,img.jpg,LCD,0,0.91|0.91|0.91|0.91|0.91|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.84|0.84|0.84|0.84|0.84|0.84|0.83|0.83|0.83|0.83|0.83|0.81|0.79|0.79|0.79|0.78,No summary available,0,160,PASS
2025-09-15 14:38:17,img.jpg,LCD,0,0.91|0.91|0.91|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.85|0.84|0.84|0.84|0.84|0.84|0.84|0.84|0.84|0.83|0.83|0.83|0.83|0.83|0.82|0.82|0.82|0.82|0.82|0.82|0.80|0.79|0.77|0.77,No summary available,0,160,PASS
2025-09-15 14:38:17,img.jpg,LCD,0,0.68|0.61|0.61|0.55,No summary available,0,288,FAIL
2025-11-15 10:18:14,img.jpg,LCD,0,0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.85|0.85|0.85|0.85|0.85|0.84|0.84|0.84|0.84|0.83|0.83|0.83|0.83|0.83|0.81|0.81|0.80|0.80|0.77|0.59,No summary available,0,224,PASS
2025-11-15 10:18:48,img0 - Copy.jpg,LED,1,0.82,8.5ms,1,3,FAIL
2025-11-15 10:18:48,img0.jpg,LED,1|1|1,0.96|0.96|0.97,6.0ms,1,3,PASS
2025-11-15 10:18:48,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,8.7ms,2,3,PASS
2025-11-15 10:18:48,img1.jpg,LED,2|2|2,0.98|0.98|0.98,5.4ms,2,3,PASS
